attack,target_type,nationality,weapon
Armed Assault,Private Citizens & Property,Burundi,Firearms
Facility/Infrastructure Attack,Police,Macedonia,Firearms
Facility/Infrastructure Attack,Educational Institution,Indonesia,Incendiary
Facility/Infrastructure Attack,Educational Institution,Indonesia,Incendiary
Facility/Infrastructure Attack,Educational Institution,Indonesia,Incendiary
Armed Assault,Private Citizens & Property,Algeria,Firearms
Facility/Infrastructure Attack,Religious Figures/Institutions,Sri Lanka,Firearms
Armed Assault,Private Citizens & Property,Algeria,Melee
Facility/Infrastructure Attack,Police,Indonesia,Firearms
Assassination,Government (General),Russia,Firearms
Bombing/Explosion,Transportation,India,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Serbia-Montenegro,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Israel,Explosives/Bombs/Dynamite
Unarmed Assault,Private Citizens & Property,Georgia,Melee
Facility/Infrastructure Attack,Police,Nepal,Firearms
Bombing/Explosion,Business,United States,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Religious Figures/Institutions,Burundi,Incendiary
Unknown,Private Citizens & Property,Angola,Unknown
Hostage Taking (Kidnapping),Police,Colombia,Firearms
Hostage Taking (Kidnapping),Private Citizens & Property,China,Firearms
Facility/Infrastructure Attack,Police,Russia,Firearms
Assassination,Government (General),India,Firearms
Bombing/Explosion,Government (General),Indonesia,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Serbia-Montenegro,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Pakistan,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Serbia-Montenegro,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Israel,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,India,Firearms
Bombing/Explosion,Utilities,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,India,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Israel,Firearms
Bombing/Explosion,Educational Institution,Indonesia,Explosives/Bombs/Dynamite
Bombing/Explosion,Educational Institution,Indonesia,Explosives/Bombs/Dynamite
Bombing/Explosion,Educational Institution,Indonesia,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Israel,Firearms
Facility/Infrastructure Attack,Business,Colombia,Incendiary
Armed Assault,Police,India,Firearms
Armed Assault,Government (Diplomatic),Multinational,Firearms
Bombing/Explosion,Private Citizens & Property,India,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Transportation,Indonesia,Incendiary
Hostage Taking (Kidnapping),Private Citizens & Property,Colombia,Firearms
Bombing/Explosion,Business,Colombia,Explosives/Bombs/Dynamite
Hijacking,Maritime,Colombia,Firearms
Facility/Infrastructure Attack,Transportation,Colombia,Incendiary
Hijacking,Transportation,Colombia,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Private Citizens & Property,Colombia,Incendiary
Hostage Taking (Kidnapping),Private Citizens & Property,Colombia,Firearms
Armed Assault,NGO,Indonesia,Firearms
Bombing/Explosion,Food or Water Supply,Russia,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Private Citizens & Property,Macedonia,Incendiary
Bombing/Explosion,Private Citizens & Property,Northern Ireland,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,India,Explosives/Bombs/Dynamite
Armed Assault,Police,Russia,Firearms
Facility/Infrastructure Attack,Educational Institution,Indonesia,Incendiary
Facility/Infrastructure Attack,Educational Institution,Indonesia,Incendiary
Facility/Infrastructure Attack,Educational Institution,Indonesia,Incendiary
Armed Assault,Private Citizens & Property,India,Firearms
Armed Assault,Private Citizens & Property,Israel,Firearms
Armed Assault,Private Citizens & Property,Israel,Firearms
Facility/Infrastructure Attack,Private Citizens & Property,Colombia,Incendiary
Armed Assault,Private Citizens & Property,Angola,Firearms
Armed Assault,Private Citizens & Property,Angola,Firearms
Facility/Infrastructure Attack,Educational Institution,Indonesia,Incendiary
Facility/Infrastructure Attack,Educational Institution,Indonesia,Incendiary
Facility/Infrastructure Attack,Transportation,Indonesia,Incendiary
Armed Assault,Private Citizens & Property,Colombia,Firearms
Bombing/Explosion,Private Citizens & Property,India,Explosives/Bombs/Dynamite
Bombing/Explosion,Journalists & Media,Indonesia,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Indonesia,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Spain,Incendiary
Bombing/Explosion,Private Citizens & Property,Israel,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,India,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Indonesia,Explosives/Bombs/Dynamite
Assassination,Business,Indonesia,Explosives/Bombs/Dynamite
Assassination,Government (General),India,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Utilities,Peru,Sabotage Equipment
Bombing/Explosion,Educational Institution,India,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,India,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Burundi,Melee
Armed Assault,Private Citizens & Property,Burundi,Melee
Bombing/Explosion,Police,India,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Police,Russia,Firearms
Hijacking,Maritime,Sudan,Firearms
Bombing/Explosion,Transportation,Spain,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Utilities,Angola,Firearms
Facility/Infrastructure Attack,Religious Figures/Institutions,Northern Ireland,Incendiary
Armed Assault,Private Citizens & Property,Colombia,Firearms
Armed Assault,Government (General),Russia,Firearms
Bombing/Explosion,Educational Institution,Indonesia,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Indonesia,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Indonesia,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Indonesia,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Indonesia,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Indonesia,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Indonesia,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Northern Ireland,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Government (General),Israel,Firearms
Hostage Taking (Kidnapping),Police,Indonesia,Firearms
Facility/Infrastructure Attack,Police,Algeria,Firearms
Facility/Infrastructure Attack,Police,India,Firearms
Armed Assault,Police,India,Firearms
Bombing/Explosion,Business,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Spain,Explosives/Bombs/Dynamite
Unarmed Assault,Private Citizens & Property,Great Britain,Melee
Armed Assault,Private Citizens & Property,Israel,Firearms
Armed Assault,Police,Macedonia,Firearms
Armed Assault,Private Citizens & Property,Israel,Firearms
Unarmed Assault,Private Citizens & Property,West Bank and Gaza Strip,Melee
Armed Assault,Business,Angola,Firearms
Assassination,Journalists & Media,Brazil,Firearms
Bombing/Explosion,Religious Figures/Institutions,Pakistan,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Pakistan,Explosives/Bombs/Dynamite
Armed Assault,Police,India,Firearms
Bombing/Explosion,Private Citizens & Property,Azerbaijan,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Government (Diplomatic),Multinational,Firearms
Bombing/Explosion,Private Citizens & Property,Pakistan,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Macedonia,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Macedonia,Explosives/Bombs/Dynamite
Hostage Taking (Kidnapping),Private Citizens & Property,Colombia,Firearms
Bombing/Explosion,Private Citizens & Property,Indonesia,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Indonesia,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Israel,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Iraq,Melee
Bombing/Explosion,Utilities,Indonesia,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Spain,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Other,Afghanistan,Incendiary
Facility/Infrastructure Attack,Transportation,Spain,Incendiary
Facility/Infrastructure Attack,Transportation,Spain,Sabotage Equipment
Facility/Infrastructure Attack,Private Citizens & Property,France,Firearms
Bombing/Explosion,Business,Spain,Explosives/Bombs/Dynamite
Unarmed Assault,Private Citizens & Property,Colombia,Melee
Facility/Infrastructure Attack,Private Citizens & Property,Burundi,Firearms
Armed Assault,Private Citizens & Property,India,Firearms
Bombing/Explosion,Business,Macedonia,Explosives/Bombs/Dynamite
Hostage Taking (Kidnapping),Private Citizens & Property,Germany,Firearms
Hostage Taking (Kidnapping),Private Citizens & Property,Indonesia,Firearms
Facility/Infrastructure Attack,Private Citizens & Property,Nepal,Firearms
Bombing/Explosion,Private Citizens & Property,Israel,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Indonesia,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Russia,Explosives/Bombs/Dynamite
Armed Assault,Police,Russia,Firearms
Bombing/Explosion,Police,India,Explosives/Bombs/Dynamite
Armed Assault,Transportation,Israel,Firearms
Unarmed Assault,Private Citizens & Property,Senegal,Melee
Armed Assault,Private Citizens & Property,Pakistan,Firearms
Facility/Infrastructure Attack,Private Citizens & Property,Angola,Firearms
Bombing/Explosion,Business,France,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Venezuela,Explosives/Bombs/Dynamite
Hostage Taking (Kidnapping),Government (General),Colombia,Firearms
Facility/Infrastructure Attack,Police,Azerbaijan,Firearms
Armed Assault,Police,Macedonia,Firearms
Facility/Infrastructure Attack,Police,Nigeria,Firearms
Armed Assault,Private Citizens & Property,India,Firearms
Bombing/Explosion,Private Citizens & Property,Russia,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Senegal,Firearms
Facility/Infrastructure Attack,Private Citizens & Property,Macedonia,Incendiary
Armed Assault,Private Citizens & Property,India,Firearms
Bombing/Explosion,Private Citizens & Property,West Bank and Gaza Strip,Explosives/Bombs/Dynamite
Unarmed Assault,Tourists,Azerbaijan,Melee
Bombing/Explosion,Utilities,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Northern Ireland,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Government (General),Germany,Incendiary
Armed Assault,Private Citizens & Property,Albania,Firearms
Bombing/Explosion,Government (General),Lebanon,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Spain,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Private Citizens & Property,Angola,Incendiary
Hostage Taking (Kidnapping),Private Citizens & Property,Colombia,Firearms
Armed Assault,Police,India,Firearms
Bombing/Explosion,Police,India,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Indonesia,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Northern Ireland,Firearms
Hostage Taking (Kidnapping),Private Citizens & Property,Colombia,Unknown
Facility/Infrastructure Attack,Private Citizens & Property,Georgia,Firearms
Hostage Taking (Kidnapping),Government (General),Colombia,Unknown
Bombing/Explosion,Private Citizens & Property,Lebanon,Explosives/Bombs/Dynamite
Hostage Taking (Kidnapping),Private Citizens & Property,Colombia,Unknown
Armed Assault,Government (General),Rwanda,Firearms
Bombing/Explosion,Police,Russia,Explosives/Bombs/Dynamite
Armed Assault,Police,Russia,Firearms
Armed Assault,Police,Macedonia,Firearms
Bombing/Explosion,Police,Algeria,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Religious Figures/Institutions,Macedonia,Other
Facility/Infrastructure Attack,Police,Spain,Incendiary
Facility/Infrastructure Attack,Police,Sri Lanka,Firearms
Bombing/Explosion,Police,Israel,Explosives/Bombs/Dynamite
Bombing/Explosion,Religious Figures/Institutions,Macedonia,Explosives/Bombs/Dynamite
Armed Assault,Police,India,Firearms
Armed Assault,Religious Figures/Institutions,India,Firearms
Bombing/Explosion,Private Citizens & Property,Russia,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Indonesia,Firearms
Bombing/Explosion,Unknown,Russia,Explosives/Bombs/Dynamite
Bombing/Explosion,Unknown,,Explosives/Bombs/Dynamite
Bombing/Explosion,Unknown,,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,India,Firearms
Armed Assault,Private Citizens & Property,India,Firearms
Armed Assault,Police,Russia,Firearms
Armed Assault,Police,Russia,Firearms
Armed Assault,Police,Macedonia,Firearms
Armed Assault,Police,Indonesia,Firearms
Bombing/Explosion,Private Citizens & Property,Pakistan,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Northern Ireland,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Northern Ireland,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Northern Ireland,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Northern Ireland,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Northern Ireland,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Pakistan,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Russia,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Colombia,Explosives/Bombs/Dynamite
Armed Assault,Police,Macedonia,Firearms
Bombing/Explosion,Private Citizens & Property,Colombia,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Government (General),Spain,Incendiary
Bombing/Explosion,Transportation,Northern Ireland,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Sri Lanka,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Israel,Explosives/Bombs/Dynamite
Bombing/Explosion,Unknown,West Bank and Gaza Strip,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Sudan,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Russia,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,India,Firearms
Armed Assault,Private Citizens & Property,Israel,Firearms
Armed Assault,Private Citizens & Property,Israel,Firearms
Bombing/Explosion,Business,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Colombia,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Algeria,Melee
Hostage Taking (Kidnapping),Private Citizens & Property,Colombia,Unknown
Bombing/Explosion,Government (General),Italy,Explosives/Bombs/Dynamite
Bombing/Explosion,Educational Institution,Indonesia,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Indonesia,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Israel,Firearms
Bombing/Explosion,Police,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Journalists & Media,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Indonesia,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,India,Firearms
Hostage Taking (Kidnapping),Private Citizens & Property,Macedonia,Unknown
Bombing/Explosion,Journalists & Media,Colombia,Explosives/Bombs/Dynamite
Armed Assault,Police,India,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,India,Firearms
Facility/Infrastructure Attack,Private Citizens & Property,India,Firearms
Armed Assault,Private Citizens & Property,Israel,Firearms
Bombing/Explosion,Police,Russia,Explosives/Bombs/Dynamite
Bombing/Explosion,Religious Figures/Institutions,Israel,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Northern Ireland,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Northern Ireland,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Transportation,Angola,Incendiary
Armed Assault,Police,Macedonia,Firearms
Armed Assault,Police,Macedonia,Firearms
Armed Assault,Police,Macedonia,Firearms
Armed Assault,Private Citizens & Property,Israel,Firearms
Armed Assault,Private Citizens & Property,Israel,Firearms
Bombing/Explosion,Military,Russia,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Russia,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Russia,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Colombia,Explosives/Bombs/Dynamite
Hostage Taking (Kidnapping),Private Citizens & Property,India,Firearms
Bombing/Explosion,Private Citizens & Property,Indonesia,Explosives/Bombs/Dynamite
Hostage Taking (Kidnapping),Private Citizens & Property,India,Firearms
Armed Assault,Government (General),India,Firearms
Hostage Taking (Kidnapping),Private Citizens & Property,India,Firearms
Unknown,Private Citizens & Property,India,Unknown
Armed Assault,Private Citizens & Property,India,Firearms
Hostage Taking (Kidnapping),Private Citizens & Property,Indonesia,Firearms
Bombing/Explosion,Police,Russia,Explosives/Bombs/Dynamite
Armed Assault,Business,Algeria,Firearms
Assassination,Government (General),India,Firearms
Bombing/Explosion,Business,Spain,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Transportation,Spain,Incendiary
Unarmed Assault,Religious Figures/Institutions,India,Melee
Armed Assault,Private Citizens & Property,Israel,Firearms
Bombing/Explosion,Police,Russia,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,India,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (General),Spain,Explosives/Bombs/Dynamite
Armed Assault,Transportation,Philippines,Firearms
Armed Assault,Military,India,Firearms
Armed Assault,Private Citizens & Property,West Bank and Gaza Strip,Firearms
Bombing/Explosion,Business,Macedonia,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Northern Ireland,Explosives/Bombs/Dynamite
Hostage Taking (Kidnapping),Business,Singapore,Firearms
Armed Assault,Private Citizens & Property,India,Firearms
Hostage Taking (Kidnapping),Private Citizens & Property,Colombia,Firearms
Armed Assault,Business,Turkey,Melee
Assassination,Government (General),India,Explosives/Bombs/Dynamite
Bombing/Explosion,Government (Diplomatic),Albania,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Russia,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,France,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Macedonia,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Macedonia,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Israel,Firearms
Bombing/Explosion,Government (General),Indonesia,Explosives/Bombs/Dynamite
Armed Assault,Terrorists/Non-State Militia,India,Firearms
Bombing/Explosion,Police,Indonesia,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,Spain,Incendiary
Facility/Infrastructure Attack,Journalists & Media,Spain,Incendiary
Facility/Infrastructure Attack,Telecommunication,Spain,Incendiary
Bombing/Explosion,Private Citizens & Property,Northern Ireland,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Algeria,Firearms
Unknown,Police,Macedonia,Unknown
Unknown,Police,Macedonia,Unknown
Armed Assault,Private Citizens & Property,India,Firearms
Bombing/Explosion,Business,Macedonia,Explosives/Bombs/Dynamite
Armed Assault,Police,Macedonia,Firearms
Bombing/Explosion,Police,India,Explosives/Bombs/Dynamite
Armed Assault,Government (General),Russia,Firearms
Facility/Infrastructure Attack,Police,Macedonia,Firearms
Bombing/Explosion,Private Citizens & Property,Indonesia,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Indonesia,Explosives/Bombs/Dynamite
Bombing/Explosion,Food or Water Supply,Lebanon,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Macedonia,Explosives/Bombs/Dynamite
Armed Assault,Transportation,Uganda,Firearms
Armed Assault,Transportation,Israel,Firearms
Armed Assault,Police,Russia,Firearms
Bombing/Explosion,Airports & Aircraft,Spain,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Russia,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Religious Figures/Institutions,Israel,Incendiary
Assassination,Government (General),India,Firearms
Armed Assault,Transportation,Russia,Firearms
Armed Assault,Private Citizens & Property,Israel,Firearms
Facility/Infrastructure Attack,Police,Indonesia,Unknown
Facility/Infrastructure Attack,Police,Indonesia,Firearms
Facility/Infrastructure Attack,Police,Macedonia,Firearms
Facility/Infrastructure Attack,Police,Macedonia,Firearms
Facility/Infrastructure Attack,Police,Macedonia,Firearms
Facility/Infrastructure Attack,Police,India,Firearms
Armed Assault,Private Citizens & Property,Israel,Firearms
Armed Assault,Private Citizens & Property,Israel,Firearms
Armed Assault,Religious Figures/Institutions,India,Melee
Armed Assault,Private Citizens & Property,Israel,Firearms
Bombing/Explosion,Government (Diplomatic),United States,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Multinational,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Philippines,Melee
Bombing/Explosion,Tourists,Northern Ireland,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,Burundi,Firearms
Bombing/Explosion,Private Citizens & Property,Russia,Explosives/Bombs/Dynamite
Bombing/Explosion,Journalists & Media,Spain,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Private Citizens & Property,Colombia,Unknown
Hostage Taking (Kidnapping),Private Citizens & Property,Burundi,Unknown
Armed Assault,Police,Algeria,Firearms
Armed Assault,Business,Algeria,Firearms
Armed Assault,Private Citizens & Property,India,Firearms
Hostage Taking (Kidnapping),Government (General),Colombia,Firearms
Armed Assault,Private Citizens & Property,Israel,Firearms
Armed Assault,Private Citizens & Property,India,Firearms
Bombing/Explosion,Utilities,Russia,Explosives/Bombs/Dynamite
Bombing/Explosion,Utilities,Colombia,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Police,Russia,Unknown
Hostage Taking (Kidnapping),Religious Figures/Institutions,Ireland,Firearms
Bombing/Explosion,Transportation,Colombia,Explosives/Bombs/Dynamite
Unknown,Police,Algeria,Unknown
Armed Assault,Private Citizens & Property,Serbia-Montenegro,Firearms
Armed Assault,Military,Algeria,Firearms
Bombing/Explosion,Private Citizens & Property,Colombia,Explosives/Bombs/Dynamite
Assassination,Government (General),Somalia,Firearms
Unknown,Private Citizens & Property,Colombia,Unknown
Bombing/Explosion,Business,Algeria,Explosives/Bombs/Dynamite
Bombing/Explosion,Military,Chile,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,India,Explosives/Bombs/Dynamite
Armed Assault,Transportation,India,Firearms
Facility/Infrastructure Attack,Police,Russia,Unknown
Armed Assault,Business,Israel,Firearms
Bombing/Explosion,Transportation,Colombia,Explosives/Bombs/Dynamite
Bombing/Explosion,Tourists,Northern Ireland,Explosives/Bombs/Dynamite
Bombing/Explosion,Tourists,Northern Ireland,Explosives/Bombs/Dynamite
Bombing/Explosion,Tourists,Northern Ireland,Explosives/Bombs/Dynamite
Hostage Taking (Kidnapping),Private Citizens & Property,Colombia,Unknown
Bombing/Explosion,Transportation,India,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Russia,Explosives/Bombs/Dynamite
Assassination,Police,Philippines,Firearms
Armed Assault,Private Citizens & Property,Israel,Firearms
Facility/Infrastructure Attack,Business,Northern Ireland,Incendiary
Bombing/Explosion,Educational Institution,Macedonia,Explosives/Bombs/Dynamite
Armed Assault,Police,Algeria,Firearms
Armed Assault,Private Citizens & Property,West Bank and Gaza Strip,Firearms
Bombing/Explosion,Private Citizens & Property,Israel,Explosives/Bombs/Dynamite
Assassination,Government (General),India,Firearms
Facility/Infrastructure Attack,Private Citizens & Property,Namibia,Firearms
Armed Assault,Private Citizens & Property,Turkey,Firearms
Armed Assault,Private Citizens & Property,India,Firearms
Hostage Taking (Kidnapping),Private Citizens & Property,Algeria,Melee
Bombing/Explosion,Police,Sri Lanka,Explosives/Bombs/Dynamite
Armed Assault,Government (General),Azerbaijan,Firearms
Armed Assault,Private Citizens & Property,Israel,Firearms
Armed Assault,Private Citizens & Property,Israel,Firearms
Assassination,Government (General),Colombia,Firearms
Bombing/Explosion,Police,Russia,Explosives/Bombs/Dynamite
Armed Assault,Transportation,Indonesia,Firearms
Hostage Taking (Kidnapping),Private Citizens & Property,Colombia,Firearms
Facility/Infrastructure Attack,Police,Colombia,Firearms
Bombing/Explosion,Unknown,Tanzania,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Russia,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Colombia,Explosives/Bombs/Dynamite
Armed Assault,Private Citizens & Property,India,Firearms
Bombing/Explosion,Business,Israel,Explosives/Bombs/Dynamite
Armed Assault,Educational Institution,India,Firearms
Facility/Infrastructure Attack,Private Citizens & Property,Colombia,Incendiary
Bombing/Explosion,Police,Spain,Incendiary
Bombing/Explosion,Private Citizens & Property,Russia,Explosives/Bombs/Dynamite
Hostage Taking (Kidnapping),Private Citizens & Property,Israel,Unknown
Hostage Taking (Kidnapping),Private Citizens & Property,India,Firearms
Armed Assault,Private Citizens & Property,India,Firearms
Assassination,Government (General),West Bank and Gaza Strip,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Algeria,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,Spain,Incendiary
Facility/Infrastructure Attack,Business,Spain,Incendiary
Bombing/Explosion,Transportation,India,Explosives/Bombs/Dynamite
Facility/Infrastructure Attack,Business,Spain,Incendiary
Armed Assault,Police,Russia,Firearms
Armed Assault,Police,Russia,Firearms
Armed Assault,Police,Russia,Firearms
Armed Assault,Private Citizens & Property,Angola,Firearms
Facility/Infrastructure Attack,Business,Albania,Incendiary
Assassination,Government (General),Serbia-Montenegro,Firearms
Bombing/Explosion,Journalists & Media,Serbia-Montenegro,Explosives/Bombs/Dynamite
Unarmed Assault,Private Citizens & Property,Northern Ireland,Melee
Bombing/Explosion,NGO,United States,Explosives/Bombs/Dynamite
Bombing/Explosion,Business,Mexico,Explosives/Bombs/Dynamite
Assassination,Private Citizens & Property,Colombia,Firearms
Bombing/Explosion,Police,India,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Afghanistan,Explosives/Bombs/Dynamite
Armed Assault,Government (General),Philippines,Firearms
Armed Assault,Private Citizens & Property,Algeria,Melee
Hostage Taking (Kidnapping),Police,Colombia,Firearms
Bombing/Explosion,Business,Spain,Explosives/Bombs/Dynamite
Hostage Taking (Kidnapping),Transportation,India,Unknown
Bombing/Explosion,Government (General),Russia,Explosives/Bombs/Dynamite
Unknown,Government (Diplomatic),International,Unknown
Unarmed Assault,Police,Colombia,Chemical
Bombing/Explosion,Private Citizens & Property,Israel,Explosives/Bombs/Dynamite
Bombing/Explosion,Transportation,Philippines,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Israel,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Israel,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Israel,Explosives/Bombs/Dynamite
Bombing/Explosion,Private Citizens & Property,Israel,Explosives/Bombs/Dynamite
Armed Assault,Maritime,Tanzania,Firearms
Armed Assault,Business,Algeria,Firearms
Assassination,Violent Political Party,Bangladesh,Firearms
Bombing/Explosion,Educational Institution,India,Explosives/Bombs/Dynamite
Unknown,Police,Algeria,Unknown
Armed Assault,Private Citizens & Property,Angola,Incendiary
Bombing/Explosion,Military,Burundi,Explosives/Bombs/Dynamite
Bombing/Explosion,Police,Northern Ireland,Explosives/Bombs/Dynamite
Assassination,Government (General),Colombia,Firearms
Armed Assault,Private Citizens & Property,Israel,Firearms
Bombing/Explosion,Military,India,Explosives/Bombs/Dynamite
